Tw_in [°C];mw_dot [kg/s];Hpev;omegab [rpm]
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;9500
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;50;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
