Tw_in [°C];mw_dot [l/min];Hpev;Theater2 [°C];pc [bar];Tw_out [°C];Pheat_out [W];mw_dot [kg/s]
34.92668197;21.05355509;53.19137591;616.6815187;70.27682305;37.29678801;3479.634623;0.350892585
34.94458927;21.18505247;53.30631385;616.6309845;70.69734941;37.43650227;3681.31385;0.353084208
34.96249656;21.31654986;53.42125178;616.5804503;70.68895315;37.5667369;3871.135762;0.355275831
34.98040386;21.44804724;53.53618972;616.5299162;70.61437344;37.64390342;3983.646684;0.357467454
34.99831115;21.57954462;53.65112765;616.479382;70.53656938;37.68536739;4043.51872;0.359659077
35.01621844;21.711042;53.76606558;616.4288478;70.49129686;37.69582392;4056.878032;0.3618507
35.03412574;21.84253938;53.88100352;616.3783136;70.46363839;37.69288769;4049.701454;0.364042323
35.05203303;21.97403677;53.99594145;616.3277794;70.44145745;37.68479619;4034.243093;0.366233946
35.06994033;22.10553415;54.11087938;616.2772452;70.42153398;37.67452285;4014.944625;0.368425569
35.08784762;22.23703153;54.22581732;616.226711;70.39759237;37.66513065;3996.495715;0.370617192
35.10575492;22.23703153;54.34075525;616.1761768;70.37142817;37.67365067;3981.939215;0.370617192
35.12366221;22.23703153;54.45569318;616.1256426;70.33983284;37.68408524;3970.351551;0.370617192
35.1415695;22.23703153;54.57063112;616.0751084;70.30549141;37.69572222;3960.628415;0.370617192
35.1594768;22.23703153;54.68556905;616.0245742;70.26749296;37.70902041;3953.481232;0.370617192
35.17738409;22.23703153;54.80050698;615.97404;70.2278035;37.72339298;3948.000081;0.370617192
35.19529139;22.23703153;54.91544492;615.9235058;70.18680438;37.7387632;3944.06593;0.370617192
35.21319868;22.23703153;55.03038285;615.8729716;70.14553622;37.75479978;3941.165088;0.370617192
35.23110598;22.23703153;55.14532079;615.8224374;70.10446202;37.77134715;3939.0563;0.370617192
35.24901327;22.23703153;55.26025872;615.7719032;70.0638833;37.78831714;3937.602853;0.370617192
35.26692056;22.23703153;55.37519665;615.721369;70.02406352;37.80562194;3936.668604;0.370617192
35.28482786;22.23703153;55.49013459;615.6708348;69.98509031;37.82323984;3936.219837;0.370617192
35.30273515;22.23703153;55.60507252;615.6203006;69.94743442;37.8409875;3935.972312;0.370617192
35.32064245;22.23703153;55.72001045;615.5697664;69.91116161;37.85881379;3935.846686;0.370617192
35.33854974;22.23703153;55.83494839;615.5192322;69.8754549;37.87705536;3936.365047;0.370617192
35.35645704;22.23703153;55.94988632;615.468698;69.82998419;37.89979404;3943.85689;0.370617192
35.37436433;22.23703153;56.06482425;615.4181638;69.79256623;37.92035573;3947.972964;0.370617192
35.39227162;22.23703153;56.17976219;615.3676296;69.75870706;37.94001611;3950.69142;0.370617192
35.41017892;22.23703153;56.29470012;615.3170954;69.72819392;37.9588097;3952.065753;0.370617192
35.42808621;22.23703153;56.40963805;615.2665612;69.69972915;37.97722382;3952.851678;0.370617192
35.44599351;22.23703153;56.52457599;615.216027;69.67291047;37.99543276;3953.319418;0.370617192
35.4639008;22.23703153;56.63951392;615.1654928;69.6462542;38.01406419;3954.442305;0.370617192
35.4818081;22.23703153;56.75445185;615.1149586;69.62136961;38.03249752;3955.257999;0.370617192
35.49971539;22.23703153;56.86938979;615.0644245;69.59780197;38.05084786;3955.945022;0.370617192
35.51762268;22.23703153;56.98432772;615.0138903;69.57546044;38.0691284;3956.523805;0.370617192
35.53552998;22.23703153;57.09926566;614.9633561;69.55414956;38.08739619;3957.08281;0.370617192
35.55343727;22.23703153;57.21420359;614.9128219;69.53378677;38.10566746;3957.64722;0.370617192
35.57134457;22.23703153;57.32914152;614.8622877;69.514284;38.12395915;3958.243281;0.370617192
35.58925186;22.23703153;57.44407946;614.8117535;69.49558177;38.14227689;3958.879746;0.370617192
35.60715916;22.23703153;57.55901739;614.7612193;69.47762335;38.16062498;3959.563258;0.370617192
35.62506645;22.23703153;57.67395532;614.7106851;69.46035985;38.17900491;3960.296171;0.370617192
35.64297374;22.23703153;57.67395532;614.6601509;69.42087252;38.21474613;3987.950569;0.370617192
35.66088104;22.23703153;57.67395532;614.6096167;69.45810748;38.22159592;3970.80411;0.370617192
35.67878833;22.23703153;57.67395532;614.5590825;69.42655277;38.25349929;3992.507296;0.370617192
35.69669563;22.23703153;57.67395532;614.5085483;69.46605264;38.25929648;3973.728613;0.370617192
35.71460292;22.23703153;57.67395532;614.4580141;69.44299974;38.28818488;3990.756608;0.370617192
35.73251022;22.23703153;57.67395532;614.4074799;69.4904852;38.29103132;3967.402293;0.370617192
35.75041751;22.23703153;57.67395532;614.3569457;69.45404169;38.32528136;3992.744383;0.370617192
35.7683248;22.23703153;57.67395532;614.3064115;69.50111612;38.32900249;3970.74644;0.370617192
35.7862321;22.23703153;57.67395532;614.2558773;69.47373123;38.36020602;3991.364408;0.370617192
35.80413939;22.23703153;57.67395532;614.2053431;69.52847304;38.36109735;3964.978388;0.370617192
35.82204669;22.23703153;57.67395532;614.1548089;69.48780494;38.39758796;3993.794826;0.370617192
35.83995398;22.23703153;57.67395532;614.1042747;69.5417619;38.39938668;3968.815879;0.370617192
35.85786128;22.23703153;57.67395532;614.0537405;69.49600303;38.4388233;4002.200584;0.370617192
35.87576857;22.23703153;57.67395532;614.0032063;69.56637406;38.43374361;3966.555546;0.370617192
35.89367586;22.23703153;57.67395532;613.9526721;69.52650053;38.47041819;3995.657263;0.370617192
35.91158316;22.23703153;57.67395532;613.9021379;69.58661377;38.47028102;3967.676386;0.370617192
