Tw_in [°C];mw_dot [kg/s];Hpev;omegab [rpm];pc [bar];Tw_out [°C];Theater1 [°C];Theater2 [°C];Pheat_out [W]
30;0.275;50;4000;69.42806653;33.72377962;534.2362616;514.1488151;4297.258666
30;0.275;50;4000;69.42755182;33.72409949;534.2684856;514.2115122;4297.586304
30;0.275;50;4000;69.42724659;33.72444933;534.3006748;514.2741388;4297.941289
30;0.275;50;4000;69.42716797;33.72482805;534.3328294;514.3366949;4298.310498
30;0.275;50;4000;69.42728194;33.72523294;534.3649493;514.3991808;4298.707987
30;0.275;50;4000;69.42761259;33.72566289;534.3970346;514.4615964;4299.117365
30;0.275;50;4000;69.42811905;33.7261149;534.4290853;514.5239417;4299.556361
30;0.275;50;4000;69.42883552;33.72658828;534.4611015;514.586217;4300.003564
30;0.275;50;4000;69.42970937;33.72707985;534.4930832;514.6484223;4300.482828
30;0.275;50;4000;69.43079046;33.72758965;534.5250304;514.7105576;4300.964835
30;0.275;50;4000;69.43200685;33.7281142;534.5569432;514.772623;4301.48339
30;0.275;50;4000;69.43343346;33.72865457;534.5888217;514.8346187;4301.99646
30;0.275;50;4000;69.43496665;33.7292066;534.6206657;514.8965446;4302.554101
30;0.275;50;4000;69.43672235;33.72977285;534.6524755;514.9584009;4303.093432
30;0.275;50;4000;69.43854427;33.73034778;534.684251;515.0201876;4303.691437
30;0.275;50;4000;69.44061687;33.73093625;534.7159922;515.0819049;4304.250385
30;0.275;50;4000;69.44269479;33.73153018;534.7476993;515.1435528;4304.892693
30;0.275;50;4000;69.44507929;33.73213811;534.7793721;515.2051313;4305.461266
30;0.275;50;4000;69.44737166;33.73274748;534.8110109;515.2666406;4306.156602
30;0.275;50;4000;69.4500758;33.73337301;534.8426155;515.3280807;4306.718661
30;0.275;50;4000;69.45252446;33.7339942;534.8741861;515.3894518;4307.48448
30;0.275;50;4000;69.45557896;33.73463653;534.9057227;515.4507538;4308.012564
30;0.275;50;4000;69.45809455;33.73526537;534.9372253;515.5119869;4308.882501
30;0.275;50;4000;69.46157192;33.73592521;534.968694;515.5731511;4309.328317
30;0.275;50;4000;69.46400581;33.73655606;535.0001287;515.6342466;4310.366417
30;0.275;50;4000;69.4680543;33.73723655;535.0315296;515.6952734;4310.643678
30;0.275;50;4000;69.4701449;33.73786093;535.0628967;515.7562315;4311.971755
30;0.275;50;4000;69.47504702;33.73856926;535.0942299;515.8171211;4311.926637
30;0.275;50;4000;69.47631855;33.73917341;535.1255294;515.8779423;4313.775969
30;0.275;50;4000;69.48257872;33.73992261;535.1567951;515.938695;4313.142884
30;0.275;50;4000;69.48217606;33.74048484;535.1880272;515.9993794;4315.939263
30;0.275;50;4000;69.49059649;33.74129043;535.2192256;516.0599956;4314.302261
30;0.275;50;4000;69.48722384;33.74178445;535.2503904;516.1205436;4318.699336
30;0.275;50;4000;69.49874648;33.742634;535.2815216;516.1810236;4315.568717
