t_ss,Tmpg_out_ss,Tw_out_ss,pc_ss,hc_out_ss,hihx1_out_ss,hft_ss,hihx2_out_ss,he_out_ss,pft_ss,pbuff1_ss,pbuff2_ss,pe_ss,Tc_out_ss,Te_out_ss,mc_in_dot_ss,mc_out_dot_ss,mft_in_dot_ss,mft_out_dot_ss,mbuff1_in_dot_ss,mbuff1_out_dot_ss,me_in_dot_ss,me_out_dot_ss,Pheat_out_ss,Pgc_ss,Pevap_ss,Prec_total_ss,COP_ss,SH_ss
0,5.841316625572233,31.01075242852188,73.78902033623847,441730.13251849945,434940.6746600857,337026.7429890186,253380.28628318524,253539.13003187254,48.22272552407516,48.28848308070736,66.85163616317695,35.497206979926034,47.23609957537637,0.6949569968778746,0.010095496017610913,0.0,0.0,0.009797610002552361,0.0006656310979054036,0.010095496017610913,0.009797610002552361,0.0006656310979054036,7132.433816250508,4508.654191769032,-2119.3617869025543,2623.7796244814745,1.8328399308796453,0.0
1,5.753432951335663,31.306125627055234,74.82681414728454,438051.68252068164,425003.0181462598,335507.43164699257,261557.17880684984,252798.3259227784,47.24418611177,46.21205050724043,67.16868389313296,35.915841646126026,46.56354970985323,1.140736151300939,0.00831168598916232,0.009455919243527507,0.009455919243527507,0.007644717893414872,0.006838726586270255,0.00831168598916232,0.008542095957374,0.007736104650229383,2229.15804148704,-491.415584690193,-18.891180125712843,2720.5736261772336,0.572832496723642,0.0
2,5.527595312734931,31.32529786076705,74.24216886101563,429352.5773243308,416732.1254521061,337706.7145055765,276194.80260028626,260102.34454304376,48.02933442245848,46.169741242129554,66.66788762733097,36.18573069201035,42.67894150231734,1.4263197296893537,0.00868238153307295,0.009272062364490661,0.009272062364490661,0.012810050415826751,0.012679275092124215,0.00868238153307295,0.009017639305063625,0.008886863981361086,2499.926641337636,-149.09934701949817,209.75274388108244,2649.025988357134,0.6424126028444772,0.0
3,5.202806633932449,31.660862203339832,73.55364006589957,419237.1009206511,401297.17437834933,337869.5939187344,287579.2205938214,267565.3250378821,47.82208230387798,47.04539164671232,66.37409501845505,36.29597481795722,38.76396358963173,1.5424520501714256,0.008243834342637918,0.009534597203365976,0.009534597203365976,0.011151878681939013,0.011036541060717166,0.008243834342637918,0.008789036427752233,0.008673698806530386,2421.8046077364424,-358.6312822587406,276.75427081609894,2780.4358899951817,0.622337382189845,0.0
4,4.945136054045591,31.828474688092825,73.2567276793377,411388.07631659834,382448.47716437216,338757.1571097816,295496.01697280107,272224.3266255971,48.04698154687722,47.32097531998291,66.54179250467654,36.336837031080805,36.34560555276161,1.5854215775271854,0.009521965758974012,0.009672124105957861,0.009672124105957861,0.0106693045096649,0.010311845635786392,0.009521965758974012,0.00883569986512604,0.008478240991247532,3094.4709014514283,258.34296406367,248.26685685740483,2836.1279373877587,0.7951941762435987,0.0
5,4.683011771334452,32.00941163798808,73.1503336826303,404427.6509896302,342476.3434355034,339325.0474050016,307938.69413087564,277005.18641554756,48.145642694799946,47.348164902768225,66.56081550354466,36.36735528743239,34.68660661169456,1.617489592408822,0.009774299848815638,0.009842583798318724,0.009842583798318724,0.011244770931491583,0.010881253950400373,0.009774299848815638,0.008925561745222759,0.008562044764131551,3211.8939276884257,375.5384151343691,288.92267832783193,2836.355512554057,0.8253686744354427,0.0
6,4.500014293639045,32.177413895311616,73.08077022466284,399341.3810496011,312304.2549363586,339087.0206313005,329862.95550469455,280824.7341183979,47.96025647711522,47.391721910628426,66.55267423657213,36.37906501185911,33.67372510152337,1.6297888250762185,0.009797766961776156,0.01008293338852822,0.01008293338852822,0.010797743415329073,0.01049437604794287,0.009797766961776156,0.00885775490754624,0.008554387540160037,3196.121287210237,341.6353652406519,339.29561413310915,2854.485921969585,0.8213155382930549,9.473903143468002e-15
7,4.353838946597961,32.36513462771008,73.0024392060484,394589.7884325283,304872.18649282155,338907.1101078087,359543.66533166636,284673.7149409989,47.84879449405916,47.33632132894154,66.55744627251144,36.37854861673072,32.85786418869047,1.6292464853642485,0.009950652990642005,0.010303210831561405,0.010303210831561405,0.010431981908940652,0.010207662317243245,0.009950652990642005,0.00879057451632925,0.008566254924631842,3234.0366230651607,375.0280538002154,393.63136534705916,2859.0085692649454,0.8310587400300672,2.842170943040401e-14
8,4.247910606856848,32.45252789455451,72.92381164435272,390231.9997070815,301296.9956158231,338860.62187056965,377299.4249305222,288545.2275955195,47.81839279237287,47.252672898535195,66.50376442271977,36.36922231532859,32.217332662396444,1.6194511580663686,0.010011971940025156,0.010472930876670821,0.010472930876670821,0.01061523980652293,0.010446006310151171,0.010011971940025156,0.008790018549316584,0.008620785052944824,3238.6315535013528,383.48528490100125,443.31010030089567,2855.1462686003515,0.8322395111665449,0.0
9,4.177139953208567,32.573168352424986,72.82454127329845,386218.4080347796,298443.66291301,338784.99604960845,389297.09183502296,292422.28770191333,47.784921669369986,47.221749272775526,66.42878528806725,36.355596560975414,31.695408346750682,1.6051370361919908,0.009998730088899486,0.010638315796499728,0.010638315796499728,0.010563987126544334,0.010407311491098345,0.009998730088899486,0.008774811201465225,0.008618135566019236,3218.775228279955,356.9843474856683,480.21028993668,2861.790880794287,0.8271369800132393,-1.4210854715202004e-14
10,4.133420441247225,32.71474693211769,72.70379859295674,382454.5906428985,295982.27750069904,338764.9574933413,398338.97102770756,296394.24316582695,47.78807917015637,47.1989886251524,66.36854037057945,36.34191581379075,31.25666988314316,1.590761321871554,0.010069221611775482,0.010776178422240167,0.010776178422240167,0.010605924198067478,0.010431066773439197,0.010069221611775482,0.008779984889646536,0.008605127465018255,3246.672159742635,379.12091801312863,509.3153617532723,2867.5512417295063,0.8343057265100264,-1.4210854715202004e-14
11,4.110045687078028,32.76051537731888,72.57796143585678,378931.7329670717,293744.2114861826,338740.7245967009,405591.2338122411,300539.31045339326,47.79752919880709,47.178048171114284,66.30432947671726,36.33073831488194,30.896134442262152,1.5790130938560196,0.010146896719617993,0.010901932357911566,0.010901932357911566,0.010661154904964788,0.010461708490490936,0.010146896719617993,0.008787867957690116,0.008588421543216264,3281.0776319097995,407.76839406227896,537.9285330886578,2873.3092378475203,0.8431469895141179,0.0
12,4.101967435133858,32.86893364141379,72.44741730899146,375608.90096572635,291652.2707237844,338701.84196193854,411728.4369594709,304890.4804633389,47.807571645884565,47.159583134159625,66.23788383407245,36.322587691139965,30.59653992769168,1.5704446003131238,0.010215917730020771,0.011018843282110983,0.011018843282110983,0.01071611831901148,0.010504401434391894,0.010215917730020771,0.008795052308534343,0.008583335423914757,3312.814993826719,434.4414687458566,571.8620563586139,2878.3735250808622,0.8513026213392006,1.4210854715202004e-14
13,4.106222547824416,32.91640940359281,72.3139031991013,372465.43258628447,289660.5321529797,338648.77045486035,417180.2832534033,309482.4946055727,47.81804395700771,47.13490694148052,66.17508519528543,36.31969103761669,30.346603481133798,1.567399139249659,0.010288178927158342,0.01112785409552835,0.01112785409552835,0.010760303596555977,0.010464437332329147,0.010288178927158342,0.008800939610521252,0.008505073346294424,3355.480042965509,468.29696718046694,585.4627361333305,2887.1830757850416,0.8622663691606456,1.4210854715202004e-14
