t_ss,Tmpg_out_ss,Tw_out_ss,pc_ss,hc_out_ss,hihx1_out_ss,hft_ss,hihx2_out_ss,he_out_ss,pft_ss,pbuff1_ss,pbuff2_ss,pe_ss,Tc_out_ss,Te_out_ss,mc_in_dot_ss,mc_out_dot_ss,mft_in_dot_ss,mft_out_dot_ss,mbuff1_in_dot_ss,mbuff1_out_dot_ss,me_in_dot_ss,me_out_dot_ss,Pheat_out_ss,Pgc_ss,Pevap_ss,Prec_total_ss,COP_ss,SH_ss
0,6.042908909616642,31.12931384992145,72.52871286465663,439011.1431245773,432599.151109495,335969.48313911754,250147.8545053546,250303.3978316227,46.8965130702323,47.39129605675633,65.47809631335254,35.07648834316191,45.05753126334413,0.24293273957139264,0.00981103365917619,0.0,0.0,0.012112110822485462,0.00039114191859131105,0.00981103365917619,0.012112110822485462,0.00039114191859131105,7205.336801507363,4393.329549288459,-2691.5561260737873,2812.007252218903,1.851573999207718,0.0
1,5.956316230380196,31.41783294490199,72.91851562052952,427287.7339828388,414818.7094759132,335912.2905470332,261025.51186918694,251682.74065046138,46.598180729447655,44.72587373910119,65.80511582162238,35.564259737199585,40.93496544813322,0.7664732686572165,0.009598127548733359,0.012800313035470846,0.012800313035470846,0.00474937717423864,0.003002445043076521,0.009598127548733359,0.01004130279471685,0.00829437066355473,1689.8875510927487,-1204.5009756650109,-217.68147709444457,2894.38852675776,0.43425476662431084,0.0
2,5.658050138792509,31.42175195468867,71.78711251899036,410507.98470051825,386662.62493607565,337665.28500236425,279665.0260597416,262098.25171855156,47.102934724885166,45.31719039951395,64.47743845031599,35.952782518449155,34.90983031615998,1.1800927136201835,0.009941938423135866,0.012083752726150565,0.012083752726150565,0.025542554881188406,0.024024333711978256,0.009941938423135866,0.011863307705803563,0.01034508653659341,2159.8768609264853,-517.0340831720865,-26.684687897173536,2676.9109440985712,0.5550291328984419,-1.1368683772161604e-14
3,5.322715777884127,32.22811321691866,70.73254428944264,399266.32841229485,348216.62362897024,338897.4070293497,295114.50760947587,269542.50675330125,47.51400232769634,46.053103055777264,64.39577280291094,36.09082295983075,31.653724494724997,1.326186145373049,0.008294589432746307,0.013666659959773883,0.013666659959773883,0.0007399802511611625,-0.0001438983752834952,0.008294589432746307,0.009594164102632663,0.008710285476188006,1417.7829610374074,-1761.8637904687828,123.80962384211962,3179.6467515061895,0.3643313476515648,1.1368683772161604e-14
4,5.034297909024247,31.974065545006816,70.25339293392169,393577.227241518,321637.8151904826,340565.1104170695,312908.5739044392,274818.98384613154,48.22709657181414,45.9138980759331,64.50469522391461,36.180284736817484,30.335588665040838,1.420599370996308,0.012771314544309206,0.011964556764719423,0.011964556764719423,0.026374532168071386,0.024534775104759196,0.012771314544309206,0.012242955935604613,0.010403198872292425,3902.481630321125,1104.8501107623408,-0.2893534515785177,2797.631519558784,1.002830779204757,2.2737367544323207e-14
5,4.771358954026206,32.60446912523218,70.08231419926086,389961.93808287755,303623.51437058055,338400.2208655406,344455.6879774752,279790.3586592441,47.13249809771635,46.53098353509426,64.11137659610499,36.240409326600854,29.758819669829872,1.4839714038183973,0.009217086904285339,0.013994808463218015,0.013994808463218015,0.00014792130680757465,-0.0005753912547598501,0.009217086904285339,0.009532465736447187,0.008809153174879762,1924.8287420026538,-1322.4648943477082,263.8878962571681,3247.2936363503622,0.49462821097748416,0.0
6,4.558867852808271,32.31090435494495,69.78228937771554,387665.3549019471,291342.68720145605,339959.8279018927,371458.09987141006,284526.142627638,47.92179178857596,46.0412167098644,64.29465206382798,36.293755444244866,29.249829297991322,1.540115215322396,0.013253723597619723,0.012130408693828957,0.012130408693828957,0.0261063552709992,0.024464077764636313,0.013253723597619723,0.012163652503500872,0.010521374997137985,4183.140574638196,1356.0983044417733,161.9088852821097,2827.042270196423,1.0749524326760926,0.0
7,4.397475484637414,32.891601709582844,69.56984157002319,385788.5874107898,287856.4677616195,339078.30110466375,388854.8253730746,289265.72723074193,47.52988619634681,46.14950091869772,64.10792750771847,36.31625667414285,28.900386401509923,1.563787652109238,0.009599610625874376,0.014135057772791055,0.014135057772791055,-0.00011699302608683161,-0.0005609902232471473,0.009599610625874376,0.009396605540157473,0.008952608342997158,2135.9848706744588,-1129.4126221034635,411.1358705085041,3265.3974927779223,0.5488895464837276,0.0
8,4.295905345997551,32.41283028219732,69.40574418871039,385247.4527090299,285586.8549676033,338566.8334171733,400123.8920491734,293827.9985498389,47.33319087109975,46.192476259909384,63.93246457578847,36.33877907132635,28.708233456482844,1.5874612513525677,0.013517591655075564,0.012179646361426847,0.012179646361426847,0.02585917663661923,0.024513732744218933,0.013517591655075564,0.012073669634113219,0.010728225741712921,4332.939625124703,1496.4690794325716,358.8570274871575,2836.47054569213,1.1134466814013977,0.0
9,4.2414569715921004,32.88375128861041,69.26484410364223,384620.29626873846,284108.6296493338,337349.62058674044,408051.72914301394,297870.868127296,46.77567462125987,46.428746159373844,63.6765704402057,36.339635835054295,28.53795159272866,1.5883632096798266,0.009809109287766916,0.014116087620803916,0.014116087620803916,-0.0001475328449590911,-0.00032944039802755044,0.009809109287766916,0.009328358971574387,0.009146451418505928,2267.9081591890817,-1004.6619981989236,578.8939500144147,3272.570157388005,0.5827902145069841,0.0
