t_ss,Tmpg_out_ss,Tw_out_ss,pc_ss,hc_out_ss,hihx1_out_ss,hft_ss,hihx2_out_ss,he_out_ss,pft_ss,pbuff1_ss,pbuff2_ss,pe_ss,Tc_out_ss,Te_out_ss,mc_in_dot_ss,mc_out_dot_ss,mft_in_dot_ss,mft_out_dot_ss,mbuff1_in_dot_ss,mbuff1_out_dot_ss,me_in_dot_ss,me_out_dot_ss,Pheat_out_ss,Pgc_ss,Pevap_ss,Prec_total_ss,COP_ss,SH_ss
0,6.044235371591753,31.194459288042808,72.72521670095986,444730.60469361464,444263.3204121832,336582.9732620215,250114.4685485223,251064.75292395553,47.20849858362689,48.89798965,65.31231639292598,35.039896051099646,47.70525565334994,0.20347775454845873,0.00981103365917619,0.0,0.0,0.012112110822485462,0.0003911419185913111,0.00981103365917619,0.012112110822485462,0.0003911419185913111,2940.660027960723,29.366821550414777,5.972356792949554,2911.293206410307,0.7556689990039671,0.0
1,5.966976214676629,31.390546082631467,73.38691362648629,439906.15788710193,439097.75008232734,337966.49414446193,260640.6975762228,252592.77629119338,47.604039662251736,48.89798965,66.40151270827538,35.554733900929435,46.21777392615412,0.7563273659100332,0.008123547550113686,0.012602653521021547,0.012602653521021547,-0.0005879007794327429,-0.004205892580352924,0.008123547550113686,0.010041315189097878,0.006423323388177697,3184.1421179793288,203.33564005905586,293.22254742749885,2980.8064779202723,0.8182372202503204,0.0
2,5.715309252465625,31.66205744971096,72.49602183745294,426423.50233037106,426423.502330371,343856.5493198285,272919.9880701305,261173.68103958564,50.06236276300383,48.89798965,67.07709540333579,36.02136616189633,40.1442387405056,1.2524945741604028,0.012108896716714512,0.010942626905773535,0.010942626905773535,0.02271006928535567,0.017372943769370007,0.012108896716714512,0.012777656927203996,0.007440531411218335,3488.906224753977,358.2126037681161,553.9583286217768,3130.6936209858604,0.8965532395483569,1.1368683772161604e-14
3,5.4425528906461835,31.999435741992826,72.4790648296829,418889.44802828867,418889.44802828867,343910.93939432735,282508.2029134006,266626.4541111217,49.751897835867226,48.89798965,67.08004355291385,36.316737818186226,37.70670021465257,1.5642100421679004,0.011922005395793746,0.0123072515924624,0.0123072515924624,0.006219839439366809,0.0032740534015474635,0.011922005395793746,0.011158617191237055,0.00821283115341771,3764.52363693367,511.41502090566735,629.3364659393931,3253.1086160280024,0.9673793574911124,0.0
4,5.159219703513813,31.955645554900457,72.42749700118729,412182.2281884539,412182.2281884539,346001.94918466255,290329.92126417614,272567.951033176,50.46983330487271,48.89798965,67.07703676012713,36.54257546650133,35.80820168856651,1.8011267030570224,0.012236244431244799,0.011492420193906195,0.011492420193906195,0.023012631624443496,0.019032285354622536,0.012236244431244799,0.012621450581629496,0.008641104311808534,3772.4845957988055,693.3696812897306,922.8795644700788,3079.1149145090753,0.9694251056427273,1.4210854715202004e-14
5,4.921162434201463,32.31468894614346,72.4191004794086,406865.36861109245,406865.36861109245,345570.96160988405,297167.94123089896,277338.7805240972,49.922162563641045,48.89798965,67.06011520295618,36.7070078820296,34.56073421367647,1.9730254180177695,0.011957660474732805,0.01286153122821247,0.01286153122821247,0.006413681226054263,0.004501022465587442,0.011957660474732805,0.010996867984103471,0.00908420922363665,4119.286588874735,854.8483000691624,1376.7222274820874,3264.438288805572,1.0585437091087682,-1.4210854715202004e-14
6,4.731800910345356,32.34616235792299,72.33079848368696,401949.5571499418,401949.5571499418,347585.675944015,303798.16580197273,281636.97288249945,50.64751143678539,48.89798965,67.05186603235381,36.83110129481186,33.48507351690148,2.1022875482444476,0.012304107470271249,0.01187566973461846,0.01187566973461846,0.023382684029339643,0.020006602654085714,0.012304107470271249,0.01257690929789266,0.00920082792263873,4053.0963791308563,932.643203460395,1469.3038938503255,3120.4531756704605,1.0415346400339913,-1.4210854715202004e-14
7,4.593336518087256,32.69594120436945,72.28959579059023,397828.77641577786,397828.77641577786,346955.26185072085,310528.2992774879,285623.5084420217,50.018672631872484,48.89798965,67.02378685374049,36.93728540287747,32.74061701352841,2.2127094375708083,0.012064582575074966,0.013291994399843987,0.013291994399843987,0.006433772003560415,0.005061356919195292,0.012064582575074966,0.01089210294813291,0.009519687863767787,4333.100785512347,1046.921548291595,1509.1543504834822,3286.1792372207524,1.1134880952022632,0.0
8,4.501029316962274,32.642324317663636,72.16839503185228,393849.33059469267,393849.33059469267,348939.32030977745,317766.86480397906,289470.92160234763,50.76329620325444,48.89798965,66.99817950832148,37.016441481687174,32.03738610352187,2.2948133642230317,0.012442618548970259,0.012157795186884986,0.012157795186884986,0.023717541536353054,0.02081436233379342,0.012442618548970259,0.012566988554177405,0.00966380935161777,4435.751402367057,1240.9731563422633,1708.3913416009668,3194.7782460247945,1.1398664892186336,0.0
9,4.451473250615621,32.85004447456393,72.09827564347256,390449.5464810592,390449.54648105917,348170.0531677051,326320.0649423167,293195.9308550562,50.08194111132865,48.89798965,66.95011855977006,37.08695411834632,31.54684599398324,2.3678943001780652,0.012211637232269767,0.013640597667748562,0.013640597667748562,0.006343312801434895,0.005448957036987611,0.012211637232269767,0.01081087611161667,0.009916520347169385,4636.389448274745,1337.1261955385278,1759.733160798422,3299.2632527362166,1.19142496584346,0.0
