t_ss,Tmpg_out_ss,Tw_out_ss,pc_ss,hc_out_ss,hihx1_out_ss,hft_ss,hihx2_out_ss,he_out_ss,pft_ss,pbuff1_ss,pbuff2_ss,pe_ss,Tc_out_ss,Te_out_ss,mc_in_dot_ss,mc_out_dot_ss,mft_in_dot_ss,mft_out_dot_ss,mbuff1_in_dot_ss,mbuff1_out_dot_ss,me_in_dot_ss,me_out_dot_ss,Pheat_out_ss,Pgc_ss,Pevap_ss,Prec_total_ss,COP_ss,SH_ss
0,6.42757385152936,31.48276932981588,77.7617595457734,441399.3676769406,434214.5672017677,334410.4923634734,254987.4866962085,255119.04050929745,48.87136883397996,48.915970325291354,70.09101251530852,34.85775246391482,50.36327927208002,0.006363848927105664,0.010830610084925594,0.0,0.0,0.010208175946480451,0.0019293932398732109,0.010830610084925594,0.010208175946480451,0.0019293932398732109,3410.4992271995443,77.42597568101779,38.58786479746422,3333.0732515185255,0.7575475177534582,0.0
1,6.2900465046746605,31.748362122220975,78.66649447170612,442122.545485894,430638.9083625871,334593.879558941,268116.32703255303,259418.69017345356,48.70669696898541,47.27123866151892,70.58965873543144,35.297973855449946,51.40911904723672,0.48157205509071443,0.009184068351656367,0.014488966572484874,0.014488966572484874,0.00816107844009144,0.010461886804310616,0.009184068351656367,0.009022592989071229,0.011323401353290406,3522.0560488032716,-29.703506109884604,279.6899644532898,3551.759554913156,0.7655519036289073,0.0
2,5.96974688667818,31.791323708676387,77.17311424692727,431671.0046598027,425843.25897265086,340210.48218963435,282328.79200865503,271085.32623408164,51.07236644084458,48.078790507417004,69.99179501130172,35.49454791322442,45.95621943238088,0.6924371425664191,0.010341825036161151,0.013546678532382233,0.013546678532382233,0.01542061482249823,0.017261481247004145,0.010341825036161151,0.010062411374451295,0.01190327779895721,3707.72798274316,139.07796254297847,364.3140779138021,3568.650020200181,0.8235686164158684,0.0
3,5.5997442314945545,31.925232956934778,76.31972323291875,424665.7844077379,419946.42197797913,342060.15872781846,292054.207671377,279533.04409182013,51.66594452336847,49.59499678116379,69.98384293353996,35.522740852542825,42.776721512404535,0.7225827434215546,0.01067368615082146,0.013449833867970539,0.013449833867970539,0.014384347436493429,0.015160038178383566,0.01067368615082146,0.01017481786138585,0.010950508603275988,4024.7662202984097,227.55312055070712,411.7923706713466,3797.2130997477025,0.8939898403755414,0.0
4,5.257757535211226,32.33044458528484,75.89303670619485,419881.23993180896,413522.6066045966,344084.96769499464,299052.97541841015,286167.30970266013,52.38588282958507,50.282063219715596,70.68144187289325,35.552392171176194,40.898197909209344,0.754259953407157,0.01217248156330511,0.01327143882130428,0.01327143882130428,0.014387899298134003,0.014070215822987618,0.01217248156330511,0.010381355465231494,0.010063671990085109,4306.577802039619,390.3537938893294,427.49059665032985,3916.2240081502896,0.9360750620642889,0.0
5,4.962859674826049,32.336185786885665,75.88861688919638,416965.53490693064,406934.6944723664,345594.13880114164,305147.7398519196,292292.77191973064,52.87601356942447,50.48223709534034,71.12077263141862,35.60489872620876,40.04253263428291,0.8103138770885181,0.01284520854754543,0.013218028359939238,0.013218028359939238,0.01498380759227154,0.014417462179787639,0.01284520854754543,0.010532667217282882,0.00996632180479898,4366.745112207599,469.0338281880588,472.43419147484974,3897.71128401954,0.9699509368108603,1.4210854715202004e-14
6,4.7246587148111985,32.43334988253011,75.95457534537958,414410.06771911867,400485.2154412121,346568.7688010485,311198.1056092946,298448.5370083443,53.11388394531368,50.65126207942771,71.33426799368968,35.65473541607627,39.39730500274865,0.8634625557523634,0.013005111176225081,0.013286716134389982,0.013286716134389982,0.015187873552989204,0.014558434471948066,0.013005111176225081,0.010592065812841766,0.009962626731800628,4409.144688696831,506.01037485093,527.7703501701886,3903.1343138459,0.9793688231035921,0.0
7,4.546698365099118,32.40224940016394,75.97811383210592,411766.7922182893,393993.1523346129,347325.91569980374,317733.1184946218,304905.0854272159,53.259495921668794,50.81989839034172,71.4965142605248,35.69758860959008,38.735296263061755,0.9091196883980075,0.0131451754710576,0.013382152548759671,0.013382152548759671,0.015213062781498471,0.014568068838980451,0.0131451754710576,0.01062011026409682,0.0099751163215788,4449.079389613152,539.7865603012891,589.2686433865666,3909.292829311863,0.9882392058646015,0.0
8,4.425448601951473,32.605886987411296,75.98117982890425,409120.3462830223,387039.2178015279,347966.33170455974,327280.53791659285,311832.89929941716,53.36525012899273,50.947887078072995,71.64539248844093,35.73980569294996,38.098255719191826,0.9540574503064789,0.013260582921978221,0.013481896475200306,0.013481896475200306,0.015208513953903898,0.01441225062016812,0.013260582921978221,0.010638930896768085,0.009842667563032306,4528.289181130994,592.0272312572079,647.0739699990819,3936.261949873786,1.0058334573066057,-1.4210854715202004e-14
9,4.353470698187905,32.7110796407178,75.98132391103357,406541.2640210567,378607.33651047805,348481.0722207303,341626.8384792085,319501.4718573319,53.42824492227904,51.029368943525384,71.7845249803131,35.78661892592581,37.5162345032508,1.0038427166938675,0.013384248886243757,0.013590360210762957,0.013590360210762957,0.015213750724025154,0.014367281832926824,0.013384248886243757,0.010646561852403102,0.009800092961304772,4588.0070175669625,639.9144987173737,717.9096846472578,3948.0925188495885,1.0190981132246841,0.0
