t_ss,Tmpg_out_ss,Tw_out_ss,pc_ss,hc_out_ss,hihx1_out_ss,hft_ss,hihx2_out_ss,he_out_ss,pft_ss,pbuff1_ss,pbuff2_ss,pe_ss,Tc_out_ss,Te_out_ss,mc_in_dot_ss,mc_out_dot_ss,mft_in_dot_ss,mft_out_dot_ss,mbuff1_in_dot_ss,mbuff1_out_dot_ss,me_in_dot_ss,me_out_dot_ss,Pheat_out_ss,Pgc_ss,Pevap_ss,Prec_total_ss,COP_ss,SH_ss
0,7.542124459066224,30.853007828104932,67.99303540537474,449451.00364997116,441093.6728357859,338254.2904775833,245829.72623145115,245843.6086866524,45.072121123735855,45.06298390553336,60.14068396006453,32.10174238383082,46.00774163482261,-3.0717493779706957,0.01054415914763548,0.0,0.0,0.00906950396162062,0.0003652230461591343,0.01054415914763548,0.00906950396162062,0.0003652230461591343,4550.58596728102,227.88025665271908,7.3044609231826865,4322.705710628301,0.47758112708823236,0.0
1,7.462167792202126,31.264047258332607,67.9161356143091,434848.9083028324,422944.6803488983,340953.2940280213,262231.6359658419,255263.71296488744,46.17548036066835,43.32547007005621,60.912612033622146,32.6070554435301,39.545518320247425,-2.493582969731153,0.010086399636100033,0.0208447233541584,0.0208447233541584,0.008172824216017147,0.010389331355546946,0.010086399636100033,0.007913497536864452,0.010130004676394251,4995.315828745988,319.25585140336364,270.78988615761637,4676.059977342625,0.5060800691898899,0.0
2,7.1252535823270815,31.5576980636858,65.62376318371795,415896.92031735735,388667.9982949441,352526.57340926153,284844.2050143498,276565.19481751474,51.656290334201664,44.047566252659635,60.348393964681385,33.03500465082327,30.55060361387043,-2.0079373320721174,0.012776808191163776,0.017010621304295676,0.017010621304295676,0.016497950064042748,0.018402369279869723,0.012776808191163776,0.00978496273467828,0.011689381950505257,5450.768942527902,781.0616791394075,405.15176929890106,4669.7072633884945,0.5522224456156394,0.0
3,6.796832169233075,31.72839447208429,65.07023389866879,411734.02092048875,348433.86864227784,353955.27745187987,303296.5993909857,288758.8630942986,52.27664459090554,45.36235738204139,59.977134892189646,33.10773706908108,28.902479382923133,-1.9259624123941137,0.012425653506309047,0.016137354361789032,0.016137354361789032,0.016783733125130356,0.017553469475063987,0.012425653506309047,0.010048546339662104,0.010818282689595733,5541.528936252526,811.2406758054453,490.47769693767185,4730.288260447081,0.5815799666672024,0.0
4,6.418911575998932,31.898709762432663,64.54463569724905,409481.73800862173,331853.35810951894,353904.9819019173,336883.81240088557,300673.02383959095,52.20980002530376,46.400308938359,60.3061263632083,33.152177607618206,27.844984126134275,-1.8759604255762221,0.013190693874442074,0.01593140708488669,0.01593140708488669,0.016069668850435467,0.01590200399447513,0.013190693874442074,0.010019944436878805,0.00985227958091847,5775.601379701469,922.0085806716863,565.6745265287418,4853.592799029783,0.6061457219713347,0.0
5,6.040762321235365,31.973795728303138,64.204051978796,409113.90908686165,312143.8851820256,353601.0886266754,369764.21631845937,314087.45187661133,52.066950933195685,46.77594175714174,60.68476095294379,33.20553456128621,27.426302047723915,-1.8159897573612738,0.013958907626453363,0.015716749693848432,0.015716749693848432,0.015745551911510915,0.015280061186252159,0.013958907626453363,0.009996255499596353,0.009530764774337595,5905.563999995304,1009.8755810724518,678.3944951189799,4895.688418922852,0.6197852170002252,0.0
6,5.7473735081610045,32.076086502228335,64.02330683978194,409455.68350654526,296783.1595295471,352950.7141629399,393448.3620325894,331225.35733836977,51.78921962356094,46.814719571390214,60.84496245378337,33.24047948049433,27.327172248556252,-1.7767471845932832,0.014389797656643269,0.015692344886521443,0.015692344886521443,0.015448445933289206,0.015053497284910667,0.014389797656643269,0.00992588164100391,0.009530932992625371,6079.51643136921,1052.8066938105521,848.2176140442917,5026.709737558657,0.6159214355422999,0.0
7,5.389164066687613,32.00459340839163,63.81938396136999,410028.2838281356,291909.6110333647,351961.9883411655,422462.5257959266,351341.65522069257,51.40450674391721,46.72009851056878,60.890678395005125,33.24973501951161,27.2597013231601,-1.7663593676006901,0.014636702615432609,0.015777663228759717,0.015777663228759717,0.015131370535607992,0.015008991944179739,0.014636702615432609,0.00982895797314391,0.009706579381715659,5993.425772970563,1073.0610759484848,1068.2301823354253,4920.364697022077,0.629006254657177,0.0
8,5.072578346361899,32.065099075376246,63.64359093949415,410581.81284452055,294535.3338849418,351312.4655625356,433656.6235796992,364941.5932485382,51.194550700828714,46.61081175892917,60.82792651675557,33.217676040394124,27.217439225838383,-1.8023525490906878,0.014771836521213787,0.01576832045701273,0.01576832045701273,0.014987615091288098,0.015108108849683593,0.014771836521213787,0.009776171405969378,0.009896665164364875,6125.2724978236265,1081.9676331945673,1228.8144422962964,5043.30486462906,0.6205570249766763,0.0
9,4.759761031030948,32.04000617450258,63.48271041231874,411178.4246033124,302752.69845962484,350917.1468227316,436155.3963702874,377863.94488931546,51.10202664650495,46.52783979741896,60.71728507857887,33.15864115290877,27.202470566533464,-1.8686961973458551,0.014832859993751252,0.01569944355862349,0.01569944355862349,0.014919124596809212,0.015173323897945647,0.014832859993751252,0.009756188760817585,0.01001038806195402,6136.533513524782,1082.3294317690732,1374.552051060038,5054.20408175571,0.6216978888981114,0.0
