current_time;Tw_in;Tw_out;Tw_out_sp;Theater_opt;Theater1;Theater2;omegab_opt;pc_reduced;pc;pc_opt;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
0;303.0286668575319;305.98869771259797;311.4546705472243;883.4;773.4011492317835;773.3071258394415;9500;66.0664211290141;66.0664211290141;75.45164028057192;50.0;49;0.0;3;50;50;0.8390781037631959;5.524772326302752;2844.3337343142016;3396.4162500000007;184.0;100;136.0;0;6
1;303.0570470464885;306.3437178318104;311.4546705472243;883.4;774.6395645604088;774.6301229866241;9500;61.96998452459602;61.96998452459602;75.49335915833811;49.0;48;0.0;3;50;50;0.3157657322262506;133.12246597474456;3031.218432717496;10021.166250000002;184.0;100;136.0;0;6
2;303.0851434335555;306.58868876981285;311.4546705472243;883.4;775.8753124760076;775.9501464474502;9500;62.033081002011095;62.033081002011095;75.53466084732665;48.0;47;0.0;3;50;50;0.3366018779342962;268.45634103843565;3104.6870378033536;10021.166250000002;184.0;100;136.0;0;6
3;303.11295885675185;306.8064070288881;311.4546705472243;883.4;777.1083987238999;777.2672029058424;9500;62.3379196746897;62.3379196746897;75.57554951942524;47.0;46;0.0;3;50;50;0.35484672566622366;390.4688724128783;3165.5091587564916;10021.166250000002;184.0;100;136.0;0;6
4;303.14049612571625;306.9858462480543;311.4546705472243;883.4;778.3388290370307;778.5812990306999;9500;62.61465765304646;62.61465765304646;75.61602930480294;46.0;45;0.0;3;50;50;0.36944065175893653;488.2196571781009;3214.006533606558;10021.166250000002;184.0;100;136.0;0;6
5;303.167758021991;307.1345962498568;311.4546705472243;883.4;779.566609135997;779.8924414759324;9500;62.87798956924207;62.87798956924207;75.6561042923268;45.0;44;0.0;3;50;50;0.3811125784910158;564.8999043622275;3254.292604662417;10021.166250000002;184.0;100;136.0;0;6
6;303.194747299303;307.25920768618454;311.4546705472243;883.4;780.7917447290744;781.2006368804934;9500;63.13794071296172;63.13794071296172;75.69577852997546;44.0;43;0.0;3;50;50;0.390491592860441;624.4979491699518;3288.683222111842;10021.166250000002;184.0;100;136.0;0;6
7;303.22146668384187;307.36443995129736;311.4546705472243;883.4;782.0142415122431;782.5058918684146;9500;63.40245717532685;63.40245717532685;75.73505602524759;43.0;42;0.0;3;50;50;0.39803469006821546;670.1441618445701;3318.6276405962417;10021.166250000002;184.0;100;136.0;0;6
8;303.24791887453534;307.4574284650754;311.4546705472243;883.4;783.234105169215;783.8082130488382;9500;63.69535298278113;63.69535298278113;75.77394074556699;42.0;41;0.0;3;50;50;0.40442714375486216;706.5553625407097;3346.276281039414;10021.166250000002;184.0;100;136.0;0;6
9;303.2741065433219;307.5362417292674;311.4546705472243;883.4;784.45134137146;785.1076070160519;9500;64.00859187264366;64.00859187264366;75.81243661868325;41.0;40;0.0;3;50;50;0.4094831292041037;732.9521732115822;3370.5463411129713;10021.166250000002;184.0;100;136.0;0;6
10;303.3000323354206;307.5940765425296;311.4546705472243;883.4;785.665955778232;786.404080349521;9500;64.28726443276449;64.28726443276449;75.85054753306832;40.0;39;0.0;3;50;50;0.4125487771166739;744.8744782259412;3389.3454034944443;10021.166250000002;184.0;100;136.0;0;6
11;303.3256988695983;307.6494172837543;311.4546705472243;883.4;786.8779540365958;787.6976396139223;9500;64.62827861715655;64.62827861715655;75.8882773383095;39.0;38;0.0;3;50;50;0.41539971605411935;754.9335526591817;3407.856062121943;10021.166250000002;184.0;100;136.0;0;6
12;303.3511087384342;307.6988639055057;311.4546705472243;883.4;788.0873417814529;788.9882913591773;9500;64.99830831417508;64.99830831417508;75.92562984549834;38.0;37;0.0;3;50;50;0.4177090385815199;760.3737112830323;3425.558008470045;10021.166250000002;184.0;100;136.0;0;6
13;303.37626450858176;307.74432544871166;311.4546705472243;883.4;789.2941246355676;790.2760421204854;9500;65.42926534951413;65.42926534951413;75.96260882761521;37.0;36;0.0;3;50;50;0.41965990853991325;764.7629558528752;3440.7187560853913;10021.166250000002;184.0;100;136.0;0;6
14;303.40116872102783;307.7790373296403;311.4546705472243;883.4;790.4983082095937;791.5608984183566;9500;65.77592775040927;65.77592775040927;75.99921801991094;36.0;35;0.0;3;50;50;0.42060217681748313;761.9570012181312;3452.967337781764;10021.166250000002;184.0;100;136.0;0;6
15;303.42582389134947;307.8169912015752;311.4546705472243;883.4;791.6998981021;792.8428667586451;9500;66.23358770870567;66.23358770870567;76.03546112028374;35.0;34;0.3341972039463144;3;50;50;0.4218798448672734;762.1735055110386;3465.554557428118;10021.166250000002;184.0;100;136.0;0;6
16;303.45023250996786;307.8506049969142;311.4546705472243;883.4;792.8988998995967;794.1219536325818;9500;66.62279489129259;66.62279489129259;76.07134178965279;34.0;33;0.8984835769119428;3;50;50;0.42276422896209565;760.3321287075639;3476.2584942746626;10021.166250000002;184.0;100;136.0;0;6
17;303.4743970424001;307.8855681873225;311.4546705472243;883.4;794.0953191765614;795.3981655168076;9500;67.07021253543643;67.07021253543643;76.10686365232816;33.0;32;1.1859642062297837;3;50;50;0.42380170620445035;760.7883130268594;3486.199041881595;10021.166250000002;184.0;100;136.0;0;6
18;303.498319929508;307.9249253203022;311.4546705472243;883.4;795.2891614954646;796.6715088734056;9500;67.54942200696487;67.54942200696487;76.14203029637679;32.0;31;2.6180900555349806;3;50;50;0.4252845459128893;764.17513548506;3497.672002663762;10021.166250000002;184.0;100;136.0;0;6
19;303.52200358774485;307.96334935307874;311.4546705472243;883.4;796.4804324067961;797.9419901499343;9500;67.99636101125346;67.99636101125346;76.17684527398495;31.0;30;3.7126958946183093;3;50;50;0.4267007221787316;768.6133613156647;3507.4255146324676;10021.166250000002;184.0;100;136.0;0;6
20;303.5454504093993;308.00201280166806;311.4546705472243;883.4;797.6691374490904;799.20961577946;9500;68.43087135662799;68.43087135662799;76.21131210181697;30.0;29;4.337794757458653;3;50;50;0.4281626542248502;774.0153154691503;3516.6738245593397;10021.166250000002;184.0;100;136.0;0;6
21;303.56866276283716;308.04361455297254;311.4546705472243;883.4;798.8552821489526;800.4743921805897;9500;68.86843806809357;68.86843806809357;76.24543426137066;29.0;28;4.510129828574395;3;50;50;0.42992940911508787;782.0497659703368;3526.3443185362253;10021.166250000002;184.0;100;136.0;0;6
